frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,icmp.type,icmp.code,ip.proto,_ws.col.Protocol
"Apr  5, 2025 01:12:06.789095000 CDT","192.168.1.155","224.0.0.251",,,"5353","5353",,,"17","MDNS"
"Apr  5, 2025 01:12:07.052399000 CDT",,,,,,,,,,"ICMPv6"
"Apr  5, 2025 01:12:07.188529000 CDT",,,,,,,,,,"ICMPv6"
"Apr  5, 2025 01:12:07.551319000 CDT",,,,,,,,,,"ICMPv6"
"Apr  5, 2025 01:12:07.755899000 CDT","192.168.1.192","224.0.0.251",,,"5353","5353",,,"17","MDNS"
"Apr  5, 2025 01:12:07.756310000 CDT",,,,,"5353","5353",,,,"MDNS"
"Apr  5, 2025 01:12:07.850871000 CDT","192.168.1.115","224.0.0.251",,,"5353","5353",,,"17","MDNS"
"Apr  5, 2025 01:12:07.851406000 CDT",,,,,"5353","5353",,,,"MDNS"
"Apr  5, 2025 01:12:08.768958000 CDT","192.168.1.192","224.0.0.251",,,"5353","5353",,,"17","MDNS"
"Apr  5, 2025 01:12:08.769372000 CDT",,,,,"5353","5353",,,,"MDNS"
"Apr  5, 2025 01:12:09.762288000 CDT","192.168.1.95","20.189.173.27","50382","443",,,,,"6","TCP"
"Apr  5, 2025 01:12:09.832131000 CDT","20.189.173.27","192.168.1.95","443","50382",,,,,"6","TCP"
"Apr  5, 2025 01:12:10.784893000 CDT",,,"50218","443",,,,,,"TCP"
"Apr  5, 2025 01:12:10.830725000 CDT",,,"50217","443",,,,,,"TCP"
"Apr  5, 2025 01:12:10.855447000 CDT",,,"443","50218",,,,,,"TCP"
"Apr  5, 2025 01:12:10.896872000 CDT",,,"443","50217",,,,,,"TCP"
"Apr  5, 2025 01:12:12.567164000 CDT","192.168.1.95","72.25.64.11","50065","443",,,,,"6","TCP"
"Apr  5, 2025 01:12:12.632493000 CDT","72.25.64.11","192.168.1.95","443","50065",,,,,"6","TCP"
"Apr  5, 2025 01:12:13.184313000 CDT",,,"49939","443",,,,,,"TLSv1.2"
"Apr  5, 2025 01:12:13.242639000 CDT",,,"443","49939",,,,,,"TLSv1.2"
"Apr  5, 2025 01:12:13.243519000 CDT",,,"49939","443",,,,,,"TLSv1.2"
"Apr  5, 2025 01:12:13.267493000 CDT",,,,,"52407","53",,,,"DNS"
"Apr  5, 2025 01:12:13.291514000 CDT",,,,,"53","52407",,,,"DNS"
"Apr  5, 2025 01:12:13.292749000 CDT",,,"50498","443",,,,,,"TCP"
"Apr  5, 2025 01:12:13.302016000 CDT",,,"443","49939",,,,,,"TLSv1.2"
"Apr  5, 2025 01:12:13.321827000 CDT",,,"443","50498",,,,,,"TCP"
"Apr  5, 2025 01:12:13.321883000 CDT",,,"50498","443",,,,,,"TCP"
